,Tree node ID,Tree node label,palmdb_sp_count,ncbi_sp_count,palmdb_sp_count_log,ncbi_sp_count_log,palmdb_sp_count_log-ncbi_sp_count_log
196,Unclass. Fimoviridae,Unclass. Fimoviridae,14,NA,2.6390573296152584,0.0,2.6390573296152584
197,Emaravirus,Emaravirus,45,26,3.8066624897703196,3.258096538021482,0.5485659517488375
198,Unclass. Tospoviridae,Unclass. Tospoviridae,5,NA,1.6094379124341003,0.0,1.6094379124341003
199,Orthotospovirus,Orthotospovirus,96,26,4.564348191467836,3.258096538021482,1.306251653446354
200,Feravirus,Feravirus,8,3,2.0794415416798357,1.0986122886681098,0.980829253011726
201,Unclass. Phasmaviridae,Unclass. Phasmaviridae,154,NA,5.0369526024136295,0.0,5.0369526024136295
202,Orthophasmavirus,Orthophasmavirus,7,18,1.9459101490553132,2.8903717578961645,0.0
203,Jonvirus,Jonvirus,5,1,1.6094379124341003,0.0,1.6094379124341003
204,Unclass. Peribunyaviridae,Unclass. Peribunyaviridae,38,NA,3.6375861597263857,0.0,3.6375861597263857
205,Orthobunyavirus,Orthobunyavirus,260,126,5.560681631015528,4.836281906951478,0.7243997240640496
206,Herbevirus,Herbevirus,13,3,2.5649493574615367,1.0986122886681098,1.466337068793427
207,Pacuvirus,Pacuvirus,6,5,1.791759469228055,1.6094379124341003,0.18232155679395468
208,Orthohantavirus,Orthohantavirus,150,39,5.0106352940962555,3.6635616461296463,1.3470736479666092
209,Mobatvirus,Mobatvirus,19,4,2.9444389791664403,1.3862943611198906,1.5581446180465497
210,Thottimvirus,Thottimvirus,14,2,2.6390573296152584,0.6931471805599453,1.945910149055313
211,Unclass. Hantaviridae,Unclass. Hantaviridae,4,NA,1.3862943611198906,0.0,1.3862943611198906
212,Reptarenavirus,Reptarenavirus,117,6,4.762173934797756,1.791759469228055,2.9704144655697013
213,Mammarenavirus,Mammarenavirus,359,41,5.883322388488279,3.713572066704308,2.1697503217839706
214,Hartmanivirus,Hartmanivirus,17,6,2.833213344056216,1.791759469228055,1.0414538748281612
215,Unclass. Arenaviridae,Unclass. Arenaviridae,27,NA,3.295836866004329,0.0,3.295836866004329
216,Arenavirus,Arenavirus,4,1,1.3862943611198906,0.0,1.3862943611198906
217,Phlebovirus,Phlebovirus,175,67,5.1647859739235145,4.204692619390966,0.9600933545325487
218,Tenuivirus,Tenuivirus,26,8,3.258096538021482,2.0794415416798357,1.1786549963416464
219,Ixovirus,Ixovirus,4,3,1.3862943611198906,1.0986122886681098,0.2876820724517808
220,Uukuvirus,Uukuvirus,15,14,2.70805020110221,2.6390573296152584,0.06899287148695166
221,Phasivirus,Phasivirus,38,7,3.6375861597263857,1.9459101490553132,1.6916760106710724
222,Bandavirus,Bandavirus,64,9,4.1588830833596715,2.1972245773362196,1.961658506023452
223,Wenrivirus,Wenrivirus,6,1,1.791759469228055,0.0,1.791759469228055
224,Unclass. Phenuiviridae,Unclass. Phenuiviridae,112,NA,4.718498871295094,0.0,4.718498871295094
225,Rubodvirus,Rubodvirus,12,4,2.4849066497880004,1.3862943611198906,1.0986122886681098
226,Goukovirus,Goukovirus,2,3,0.6931471805599453,1.0986122886681098,0.0
227,Mobuvirus,Mobuvirus,2,2,0.6931471805599453,0.6931471805599453,0.0
228,Coguvirus,Coguvirus,40,6,3.6888794541139363,1.791759469228055,1.8971199848858813
229,Entovirus,Entovirus,2,1,0.6931471805599453,0.0,0.6931471805599453
230,Unclass. Monjiviricetes G,Unclass. Monjiviricetes G,580,NA,6.363028103540465,0.0,6.363028103540465
231,Unclass. Jingchuvirales G,Unclass. Jingchuvirales G,108,NA,4.68213122712422,0.0,4.68213122712422
232,Unclass. Chuviridae,Unclass. Chuviridae,201,NA,5.303304908059076,0.0,5.303304908059076
233,Mivirus,Mivirus,25,13,3.2188758248682006,2.5649493574615367,0.6539264674066638
234,Unclass. Mononegavirales G,Unclass. Mononegavirales G,671,NA,6.508769136971682,0.0,6.508769136971682
235,Unclass. Lispiviridae,Unclass. Lispiviridae,62,NA,4.127134385045092,0.0,4.127134385045092
236,Unclass. Xinmoviridae,Unclass. Xinmoviridae,35,NA,3.5553480614894135,0.0,3.5553480614894135
237,Anphevirus,Anphevirus,11,2,2.3978952727983707,0.6931471805599453,1.7047480922384253
238,Sclerotimonavirus,Sclerotimonavirus,13,12,2.5649493574615367,2.4849066497880004,0.08004270767353638
239,Unclass. Mymonaviridae,Unclass. Mymonaviridae,74,NA,4.30406509320417,0.0,4.30406509320417
240,Peropuvirus,Peropuvirus,2,7,0.6931471805599453,1.9459101490553132,0.0
241,Unclass. Artoviridae,Unclass. Artoviridae,35,NA,3.5553480614894135,0.0,3.5553480614894135
242,Ebolavirus,Ebolavirus,79,73,4.3694478524670215,4.290459441148391,0.07898841131863055
243,Marburgvirus,Marburgvirus,9,73,2.1972245773362196,4.290459441148391,0.0
244,Unclass. Filoviridae,Unclass. Filoviridae,7,NA,1.9459101490553132,0.0,1.9459101490553132
245,Orthobornavirus,Orthobornavirus,34,16,3.5263605246161616,2.772588722239781,0.7537718023763804
246,Unclass. Bornaviridae,Unclass. Bornaviridae,14,NA,2.6390573296152584,0.0,2.6390573296152584
247,Carbovirus,Carbovirus,2,2,0.6931471805599453,0.6931471805599453,0.0
248,Metapneumovirus,Metapneumovirus,22,2,3.091042453358316,0.6931471805599453,2.3978952727983707
249,Orthopneumovirus,Orthopneumovirus,87,8,4.465908118654584,2.0794415416798357,2.386466576974748
250,Unclass. Pneumoviridae,Unclass. Pneumoviridae,1,NA,0.0,0.0,0.0
251,Nyavirus,Nyavirus,5,6,1.6094379124341003,1.791759469228055,0.0
252,Orinovirus,Orinovirus,27,1,3.295836866004329,0.0,3.295836866004329
253,Unclass. Nyamiviridae,Unclass. Nyamiviridae,84,NA,4.430816798843313,0.0,4.430816798843313
254,Morbillivirus,Morbillivirus,100,7,4.605170185988092,1.9459101490553132,2.6592600369327783
255,Henipavirus,Henipavirus,7,5,1.9459101490553132,1.6094379124341003,0.33647223662121295
256,Orthorubulavirus,Orthorubulavirus,85,9,4.442651256490317,2.1972245773362196,2.245426679154097
257,Metaavulavirus,Metaavulavirus,25,11,3.2188758248682006,2.3978952727983707,0.8209805520698299
258,Respirovirus,Respirovirus,71,9,4.2626798770413155,2.1972245773362196,2.065455299705096
259,Jeilongvirus,Jeilongvirus,5,11,1.6094379124341003,2.3978952727983707,0.0
260,Orthoavulavirus,Orthoavulavirus,122,9,4.804021044733257,2.1972245773362196,2.606796467397037
261,Pararubulavirus,Pararubulavirus,12,10,2.4849066497880004,2.302585092994046,0.18232155679395445
262,Aquaparamyxovirus,Aquaparamyxovirus,2,1,0.6931471805599453,0.0,0.6931471805599453
263,Unclass. Paramyxoviridae,Unclass. Paramyxoviridae,71,NA,4.2626798770413155,0.0,4.2626798770413155
264,Paraavulavirus,Paraavulavirus,10,3,2.302585092994046,1.0986122886681098,1.2039728043259361
265,Narmovirus,Narmovirus,2,4,0.6931471805599453,1.3862943611198906,0.0
266,Hoplichthysvirus,Hoplichthysvirus,1,1,0.0,0.0,0.0
267,Ferlavirus,Ferlavirus,5,1,1.6094379124341003,0.0,1.6094379124341003
268,Nucleorhabdovirus,Nucleorhabdovirus,60,3,4.0943445622221,1.0986122886681098,2.9957322735539904
269,Vesiculovirus,Vesiculovirus,65,20,4.174387269895637,2.995732273553991,1.178654996341646
270,Ledantevirus,Ledantevirus,26,20,3.258096538021482,2.995732273553991,0.2623642644674913
